group,condition,algorithm,grid,seed,success_rate,mean_undiscounted_return,mean_episode_length,policy_difference_from_optimal,train_stop,stopped_early,training_time_s
exploration_epsilon,decaying_epsilon,value_iteration,A1_grid,1,1.0,-17.0,28.0,0.0,30,,0.076
exploration_epsilon,decaying_epsilon,mc,A1_grid,1,1.0,-19.0,30.0,0.051282,5184,True,3.209
exploration_epsilon,decaying_epsilon,q_learning,A1_grid,1,1.0,-17.0,28.0,0.0,1395,True,1.27
exploration_epsilon,decaying_epsilon,value_iteration,A1_grid,2,1.0,-17.0,28.0,0.0,30,,0.076
exploration_epsilon,decaying_epsilon,mc,A1_grid,2,1.0,-17.0,28.0,0.068376,6180,True,3.608
exploration_epsilon,decaying_epsilon,q_learning,A1_grid,2,1.0,-17.0,28.0,0.0,2309,True,1.729
exploration_epsilon,decaying_epsilon,value_iteration,A1_grid,3,1.0,-17.0,28.0,0.0,30,,0.076
exploration_epsilon,decaying_epsilon,mc,A1_grid,3,1.0,-19.0,30.0,0.068376,6911,True,4.076
exploration_epsilon,decaying_epsilon,q_learning,A1_grid,3,1.0,-17.0,28.0,0.0,1239,True,1.173
exploration_epsilon,decaying_epsilon,value_iteration,A1_grid,4,1.0,-17.0,28.0,0.0,30,,0.076
exploration_epsilon,decaying_epsilon,mc,A1_grid,4,1.0,-19.0,30.0,0.068376,5194,True,3.233
exploration_epsilon,decaying_epsilon,q_learning,A1_grid,4,1.0,-17.0,28.0,0.0,2621,True,1.889
learning_rate,low_fixed_alpha,value_iteration,A1_grid,0,1.0,-17.0,28.0,0.0,30,,0.078
learning_rate,low_fixed_alpha,mc,A1_grid,0,1.0,-29.0,40.0,0.145299,46631,True,26.64
learning_rate,low_fixed_alpha,q_learning,A1_grid,0,1.0,-17.0,28.0,0.0,3494,True,2.234
learning_rate,low_fixed_alpha,value_iteration,A1_grid,1,1.0,-17.0,28.0,0.0,30,,0.076
learning_rate,low_fixed_alpha,mc,A1_grid,1,1.0,-25.0,36.0,0.196581,67194,True,38.387
learning_rate,low_fixed_alpha,q_learning,A1_grid,1,1.0,-17.0,28.0,0.0,5225,True,3.246
learning_rate,low_fixed_alpha,value_iteration,A1_grid,2,1.0,-17.0,28.0,0.0,30,,0.076
learning_rate,low_fixed_alpha,mc,A1_grid,2,1.0,-29.0,40.0,0.153846,77918,True,45.226
learning_rate,low_fixed_alpha,q_learning,A1_grid,2,1.0,-17.0,28.0,0.0,4275,True,2.785
learning_rate,low_fixed_alpha,value_iteration,A1_grid,3,1.0,-17.0,28.0,0.0,30,,0.076
learning_rate,low_fixed_alpha,mc,A1_grid,3,1.0,-21.0,32.0,0.290598,100000,False,55.302
learning_rate,low_fixed_alpha,q_learning,A1_grid,3,1.0,-17.0,28.0,0.0,4653,True,2.906
learning_rate,low_fixed_alpha,value_iteration,A1_grid,4,1.0,-17.0,28.0,0.0,30,,0.085
learning_rate,low_fixed_alpha,mc,A1_grid,4,1.0,-19.0,30.0,0.247863,100000,False,55.854
learning_rate,low_fixed_alpha,q_learning,A1_grid,4,1.0,-17.0,28.0,0.0,5170,True,3.261
